	word	POS	pm2_lemmas	pm2_POS	ms_lemmas	ms_POS	nt_lemmas	nt_POS
44	Все	ADV	весь	ADJ	все	PRON	все	PRCL
45	такая	PRON	такой	ADJ	такой	PRON	такой	PRON
46	же	PRCL	же	PRCL	же	PRCL	же	PRCL
47	язва	NOUN	язва	NOUN	язва	NOUN	язва	NOUN
48	На	PREP	на	PREP	на	PREP	на	PREP
49	душе	NOUN	душа	NOUN	душа	NOUN	душа	NOUN
50	у	PREP	у	PREP	у	PREP	у	PREP
51	меня	PRON	я	PRON	я	PRON	я	PRON
52	вдруг	ADV	вдруг	ADV	вдруг	ADV	вдруг	ADV
53	становится	VERB	становиться	VERB	становиться	VERB	становиться	VERB
54	спокойно	ADV	спокойно	ADV	спокойно	ADV	спокойно	ADV
55	Солнце	NOUN	солнце	NOUN	солнце	NOUN	солнце	NOUN
56	уже	ADV	уже	ADV	уже	ADV	уже	ADV
57	село	VERB	сесть	VERB	садиться	VERB	село	NOUN
58	а	CONJ	а	CONJ	а	CONJ	а	CONJ
59	единственная	ADJ	единственный	ADJ	единственный	ADJ	единственный	ADJ
60	в	PREP	в	PREP	в	PREP	в	PREP
61	комнате	NOUN	комната	NOUN	комната	NOUN	комната	NOUN
62	люстра	NOUN	люстра	NOUN	люстра	NOUN	люстра	VERB
63	в	PREP	в	PREP	в	PREP	в	PREP
64	свое	PRON	свой	ADJ	свой	PRON	свой	PRON
65	время	NOUN	время	NOUN	время	NOUN	время	NOUN
66	купленная	VERB	купить	VERB	купить	VERB	купить	VERB
67	в	PREP	в	PREP	в	PREP	в	PREP
68	секонде	NOUN	секонда	NOUN	секонд	NOUN	секонда	NOUN
69	приказала	VERB	приказать	VERB	приказывать	VERB	приказать	VERB
70	долго	ADV	долго	ADV	долго	ADV	долго	ADV
71	жить	VERB	жить	VERB	жить	VERB	жить	VERB
72	еще	ADV	ещё	PRCL	еще	ADV	еще	ADV
73	до	PREP	до	PREP	до	PREP	до	PREP
74	прошлой	ADJ	прошлый	ADJ	прошлый	ADJ	прошлый	ADJ
75	вечеринки	NOUN	вечеринка	NOUN	вечеринка	NOUN	вечеринка	NOUN
76	Конечно	other	конечно	CONJ	конечно	ADV	конечно	ADV
77	времени	NOUN	время	NOUN	время	NOUN	время	NOUN
78	починить	VERB	починить	VERB	починять	VERB	починить	VERB
79	ее	PRON	она	PRON	она	PRON	она	PRON
80	за	PREP	за	PREP	за	PREP	за	PREP
81	полгода	NOUN	полгода	NOUN	полгода	NOUN	полгода	NOUN
82	у	PREP	у	PREP	у	PREP	у	PREP
83	Аллана	NOUN	аллан	NOUN	аллан	NOUN	аллан	NOUN
84	не	PRCL	не	PRCL	не	PRCL	не	PRCL
85	нашлось	VERB	найтись	VERB	находиться	VERB	найтись	VERB
86	Я	PRON	я	PRON	я	PRON	я	PRON
87	свечу	VERB	свеча	NOUN	свеча	NOUN	светить	VERB
88	ему	PRON	он	PRON	он	PRON	он	PRON
89	фонариком	NOUN	фонарик	NOUN	фонарик	NOUN	фонарик	NOUN
90	на	PREP	на	PREP	на	PREP	на	PREP
91	телефоне	NOUN	телефон	NOUN	телефон	NOUN	телефон	NOUN
92	пока	ADV	пока	ADV	пока	CONJ	пока	CONJ
93	он	PRON	он	PRON	он	PRON	он	PRON
94	достает	VERB	доставать	VERB	доставать	VERB	доставать	VERB
95	из	PREP	из	PREP	из	PREP	из	PREP
96	шкафа	NOUN	шкаф	NOUN	шкаф	NOUN	шкаф	NOUN
97	старую	ADJ	старый	ADJ	старый	ADJ	старый	ADJ
98	оплавившуюся	VERB	оплавиться	VERB	оплавляться	VERB	оплавившийся	ADJ
99	свечу	NOUN	свеча	NOUN	свеча	NOUN	свеча	NOUN
100	и	CONJ	и	CONJ	и	CONJ	и	CONJ
101	спички	NOUN	спичка	NOUN	спичка	NOUN	спичка	NOUN
102	Скоро	ADV	скоро	ADV	скоро	ADV	скоро	ADV
103	всемирный	ADJ	всемирный	ADJ	всемирный	ADJ	всемирный	ADJ
104	день	NOUN	день	NOUN	день	NOUN	день	NOUN
105	лени	NOUN	лень	NOUN	лень	NOUN	лень	NOUN
106	Я	PRON	я	PRON	я	PRON	я	PRON
107	подарю	VERB	подарить	VERB	подарить	VERB	подарить	VERB
108	тебе	PRON	ты	PRON	ты	PRON	ты	PRON
109	лампу	NOUN	лампа	NOUN	лампа	NOUN	лампа	NOUN
110	как	CONJ	как	CONJ	как	CONJ	как	CONJ
111	главному	ADJ	главное	NOUN	главный	ADJ	главный	ADJ
112	лентяю	NOUN	лентяй	NOUN	лентяй	NOUN	лентяй	NOUN
113	А	CONJ	а	CONJ	а	CONJ	а	CONJ
114	когда	ADV	когда	CONJ	когда	CONJ	когда	CONJ
115	там	ADV	там	ADV	там	ADV	там	ADV
116	всемирный	ADJ	всемирный	ADJ	всемирный	ADJ	всемирный	ADJ
117	день	NOUN	день	NOUN	день	NOUN	день	NOUN
118	шила	NOUN	шить	VERB	шить	VERB	шить	NOUN
119	в	PREP	в	PREP	в	PREP	в	PREP
120	одном	PRON	один	ADJ	один	PRON	один	PRON
121	месте	NOUN	место	NOUN	место	NOUN	место	NOUN
122	Надо	ADV	надо	ADV	надо	ADV	надо	ADV
123	не	PRCL	не	PRCL	не	PRCL	не	PRCL
124	забыть	VERB	забыть	VERB	забывать	VERB	забыть	VERB
125	тебя	PRON	ты	PRON	ты	PRON	ты	PRON
126	поздравить	VERB	поздравить	VERB	поздравлять	VERB	поздравить	VERB
127	Мы	PRON	мы	PRON	мы	PRON	мы	PRON
128	беззлобно	ADV	беззлобно	ADV	беззлобный	ADJ	беззлобно	VERB
129	переругиваемся	VERB	переругиваться	VERB	переругиваться	VERB	переругиваться	VERB
130	еще	ADV	ещё	PRCL	еще	ADV	еще	ADV
131	с	PREP	с	PREP	с	PREP	с	PREP
132	четверть	NOUN	четверть	NOUN	четверть	NOUN	четверть	NOUN
133	часа	NOUN	час	NOUN	час	NOUN	час	NOUN
134	когда	CONJ	когда	CONJ	когда	CONJ	когда	CONJ
135	звонит	VERB	звонить	VERB	звонить	VERB	звонить	VERB
136	Ирэн	NOUN	ирэна	NOUN	ирэн	NOUN	ирэн	NOUN
137	и	CONJ	и	CONJ	и	CONJ	и	CONJ
138	просит	VERB	просить	VERB	просить	VERB	просить	VERB
139	помочь	VERB	помочь	VERB	помогать	VERB	помочь	VERB
140	ей	PRON	она	PRON	она	PRON	она	PRON
141	донести	VERB	донести	VERB	доносить	VERB	донести	VERB
142	сумки	NOUN	сумка	NOUN	сумка	NOUN	сумка	NOUN
143	с	PREP	с	PREP	с	PREP	с	PREP
144	продуктами	NOUN	продукт	NOUN	продукт	NOUN	продукт	NOUN
145	от	PREP	от	PREP	от	PREP	от	PREP
146	метро	NOUN	метро	NOUN	метро	NOUN	метро	NOUN
147	Аллан	NOUN	аллан	NOUN	аллан	NOUN	аллан	NOUN
148	говорит	VERB	говорить	VERB	говорить	VERB	говорить	VERB
149	что	CONJ	что	CONJ	что	CONJ	что	CONJ
150	выйдет	VERB	выйти	VERB	выходить	VERB	выйти	VERB
151	ей	PRON	она	PRON	она	PRON	она	PRON
152	навстречу	PREP	навстречу	ADV	навстречу	ADV	навстречу	ADV
153	и	CONJ	и	CONJ	и	CONJ	и	CONJ
154	добавляет	VERB	добавлять	VERB	добавлять	VERB	добавлять	VERB
155	Надеюсь	VERB	надеяться	VERB	надеяться	VERB	надеяться	VERB
156	Салли	NOUN	салли	NOUN	салли	NOUN	салли	NOUN
157	не	PRCL	не	PRCL	не	PRCL	не	PRCL
158	задушит	VERB	задушить	VERB	задушить	VERB	задушить	VERB
159	мою	PRON	мой	ADJ	мой	PRON	мой	PRON
160	собаку	NOUN	собака	NOUN	собака	NOUN	собака	NOUN
161	пока	ADV	пока	ADV	пока	CONJ	пока	CONJ
162	нас	PRON	мы	PRON	мы	PRON	мы	PRON
163	нет	ADV	нет	ADV	нет	ADV	нет	VERB
164	Как	ADV	как	CONJ	как	ADV	как	ADV
165	знать	VERB	знать	VERB	знать	VERB	знать	VERB
166	задумчиво	ADV	задумчиво	ADV	задумчиво	ADV	задумчивый	VERB
167	говорю	VERB	говорить	VERB	говорить	VERB	говорить	VERB
168	я	PRON	я	PRON	я	PRON	я	PRON
169	рассматривая	VERB	рассматривать	VERB	рассматривать	VERB	рассматривать	VERB
170	ньюфку	NOUN	ньюфка	NOUN	ньюфку	NOUN	ньюфка	NOUN
171	Та	PRON	тот	ADJ	тот	PRON	тот	PRON
172	кажется	other	кажется	CONJ	кажется	ADV	казаться	VERB
173	не	PRCL	не	PRCL	не	PRCL	не	PRCL
174	против	ADV	против	PREP	против	ADV	против	PREP
175	быть	VERB	быть	VERB	быть	VERB	быть	VERB
176	задушенной	VERB	задушить	VERB	задушить	VERB	задушить	VERB
177	так	CONJ	так	CONJ	так	ADV	так	ADV
178	что	CONJ	что	CONJ	что	CONJ	что	CONJ
179	я	PRON	я	PRON	я	PRON	я	PRON
180	валю	VERB	валить	VERB	валя	NOUN	валить	VERB
181	ее	PRON	она	PRON	она	PRON	она	PRON
182	на	PREP	на	PREP	на	PREP	на	PREP
183	пол	NOUN	половина	NOUN	пол	NOUN	пол	NOUN
184	и	CONJ	и	CONJ	и	CONJ	и	CONJ
185	она	PRON	она	PRON	она	PRON	она	PRON
186	пытается	VERB	пытаться	VERB	пытаться	VERB	пытаться	VERB
187	лизнуть	VERB	лизнуть	VERB	лизнуть	VERB	лизнуть	VERB
188	меня	PRON	я	PRON	я	PRON	я	PRON
189	в	PREP	в	PREP	в	PREP	в	PREP
190	нос	NOUN	нос	NOUN	нос	NOUN	нос	NOUN
191	виляя	VERB	вилять	VERB	вилять	VERB	вилять	VERB
192	хвостом	NOUN	хвост	NOUN	хвост	NOUN	хвост	NOUN
193	и	CONJ	и	CONJ	и	CONJ	и	CONJ
194	чуть	PRCL	чуть	ADV	чуть	ADV	чуть	ADV
195	ли	PRCL	ли	PRCL	ли	PRCL	ли	PRCL
196	не	PRCL	не	PRCL	не	PRCL	не	PRCL
197	пища	VERB	пища	NOUN	пища	NOUN	пища	NOUN
198	от	PREP	от	PREP	от	PREP	от	PREP
199	радости	NOUN	радость	NOUN	радость	NOUN	радость	NOUN
